company_name,symbol,exchange,sector,industry,theme,market_cap_type,is_sme
EP Biocomposites Ltd,EPBIO,BSE SME,Utilities,Utilities,,Micro,True
Essex Marine Ltd,ESSEX,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Euphoria Infotech (India) Ltd,EUPHORIAIT,BSE SME,Information Technology,Information Technology,,Micro,True
Evans Electric Ltd,EVANS,BSE SME,Services,Services,,Micro,True
Evoq Remedies Ltd,EVOQ,BSE SME,Services,Services,,Micro,True
Exato Technologies Ltd,EXATO,BSE SME,Information Technology,Information Technology,,Micro,True
Exhicon Events Media Solutions Ltd,EXHICON,BSE SME,Consumer Services,Consumer Services,,Micro,True
Faalcon Concepts Ltd,FAALCON,BSE SME,Capital Goods,Capital Goods,,Micro,True
Fabtech Technologies Cleanrooms Ltd,FABCLEAN,BSE SME,Capital Goods,Capital Goods,,Micro,True
Fabino Enterprises Ltd,FABINO,BSE SME,Healthcare,Healthcare,,Micro,True
Fractal Industries Ltd,FIL,BSE SME,Textiles,Textiles,,Micro,True
Filtra Consultants and Engineers Ltd,FILTRA,BSE SME,Utilities,Utilities,,Micro,True
Focus Business Solution Ltd,FOCUS,BSE SME,Information Technology,Information Technology,,Micro,True
Fone4 Communications (India) Ltd,FONE4,BSE SME,Consumer Services,Consumer Services,,Micro,True
Franklin Leasing and Finance Ltd,FRANKLIN,BSE SME,Financial Services,Financial Services,,Micro,True
Focus Suites Solutions & Services Ltd,FSSPL,BSE SME,Services,Services,,Micro,True
Finelistings Technologies Ltd,FTL,BSE SME,Consumer Services,Consumer Services,,Micro,True
Gallard Steel Ltd,GALLARD,BSE SME,Automobile and Auto Components,Automobile and Auto Components,,Micro,True
Ganga Pharmaceuticals Ltd,GANGAPHARM,BSE SME,Healthcare,Healthcare,,Micro,True
Ganesha Ecoverse Ltd,GANVERSE,BSE SME,Services,Services,,Micro,True
PNGS Gargi Fashion Jewellery Ltd,GARGI,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
GB Logistics Commerce Ltd,GBLOGISTIC,BSE SME,Services,Services,,Micro,True
GCM Capital Advisors Ltd,GCMCAPI,BSE SME,Financial Services,Financial Services,,Micro,True
GCM Commodity & Derivatives Ltd,GCMCOMM,BSE SME,Financial Services,Financial Services,,Micro,True
Gconnect Logitech and Supply Chain Ltd,GCONNECT,BSE SME,Services,Services,,Micro,True
Gautam Exim Ltd,GEL,BSE SME,Services,Services,,Micro,True
GEM Enviro Management Ltd,GEMENVIRO,BSE SME,Utilities,Utilities,,Micro,True
Getalong Enterprise Ltd,GETALONG,BSE SME,Services,Services,,Micro,True
Ghushine Fintrrade Ocean Ltd,GHUSHINE,BSE SME,Textiles,Textiles,,Micro,True
Glaam Up Jwel Ltd,GLAAMUP,BSE SME,Services,Services,,Micro,True
Glen Industries Ltd,GLEN,BSE SME,Capital Goods,Capital Goods,,Micro,True
Global Longlife Hospital and Research Ltd,GLHRL,BSE SME,Healthcare,Healthcare,,Micro,True
Global Ocean Logistics India Ltd,GLOBALLOG,BSE SME,Services,Services,,Micro,True
Globtier Infotech Ltd,GLOBTIER,BSE SME,Information Technology,Information Technology,,Micro,True
Goldline Pharmaceutical Ltd,GLPL,BSE SME,Healthcare,Healthcare,,Micro,True
G M Polyplast Ltd,GMPL,BSE SME,Capital Goods,Capital Goods,,Micro,True
Goblin India Ltd,GOBLIN,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Goel Food Products Ltd,GOEL,BSE SME,Consumer Services,Consumer Services,,Micro,True
Goel Construction Company Ltd,GOELCONS,BSE SME,Construction,Construction,,Micro,True
Gokul Solutions Ltd (ITP),GOKULSOL (ITP),BSE SME,-,-,,Micro,True
Gujarat Peanut And Agri Products Ltd,GPAPL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Gabriel Pet Straps Ltd,GPSL,BSE SME,Capital Goods,Capital Goods,,Micro,True
GRE Renew Enertech Ltd,GRERENEW,BSE SME,Construction,Construction,,Micro,True
Gabion Technologies India Ltd,GTIL,BSE SME,Capital Goods,Capital Goods,,Micro,True
Gujarat Hy-Spin Ltd,GUJHYSPIN,BSE SME,Textiles,Textiles,,Micro,True
Greenhitech Ventures Ltd,GVL,BSE SME,"Oil, Gas & Consumable Fuels","Oil, Gas & Consumable Fuels",,Micro,True
